date,type,locale,locale_name,description,transferred
2012-03-02,Holiday,Local,Manta,Fundacion de Manta,false
2012-04-01,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,false
2012-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca,false
2012-04-14,Holiday,Local,Libertad,Cantonizacion de Libertad,false
2012-04-21,Holiday,Local,Riobamba,Cantonizacion de Riobamba,false
2012-05-12,Holiday,Local,Puyo,Cantonizacion del Puyo,false
2012-06-23,Holiday,Local,Guaranda,Cantonizacion de Guaranda,false
2012-06-25,Holiday,Regional,Imbabura,Provincializacion de Imbabura,false
2012-06-25,Holiday,Local,Latacunga,Cantonizacion de Latacunga,false
2012-06-25,Holiday,Local,Machala,Fundacion de Machala,false
2012-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,false
2012-07-03,Holiday,Local,El Carmen,Cantonizacion de El Carmen,false
2012-07-23,Holiday,Local,Cayambe,Cantonizacion de Cayambe,false
2012-08-05,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,false
2012-08-10,Holiday,National,Ecuador,Primer Grito de Independencia,false
2012-08-15,Holiday,Local,Riobamba,Fundacion de Riobamba,false
2012-08-24,Holiday,Local,Ambato,Fundacion de Ambato,false
2012-09-28,Holiday,Local,Ibarra,Fundacion de Ibarra,false
2012-10-07,Holiday,Local,Quevedo,Cantonizacion de Quevedo,false
2012-10-09,Holiday,National,Ecuador,Independencia de Guayaquil,true
2012-10-12,Transfer,National,Ecuador,Traslado Independencia de Guayaquil,false
2012-11-02,Holiday,National,Ecuador,Dia de Difuntos,false
2012-11-03,Holiday,National,Ecuador,Independencia de Cuenca,false
2012-11-06,Holiday,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo,false
2012-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,false
2012-11-10,Holiday,Local,Guaranda,Independencia de Guaranda,false
2012-11-11,Holiday,Local,Latacunga,Independencia de Latacunga,false
